time,temperature_2m,relative_humidity_2m,precipitation,rain,wind_speed_10m,et0_fao_evapotranspiration,vapour_pressure_deficit,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
2020-01-01T00:00,18.8,94,0.0,0.0,5.02,0.0,0.13,21.9,0.282,0.305
2020-01-01T01:00,18.8,92,0.0,0.0,4.71,0.0,0.17,21.5,0.282,0.305
2020-01-01T02:00,18.3,94,0.0,0.0,4.37,0.0,0.12,21.2,0.282,0.305
2020-01-01T03:00,18.2,95,0.0,0.0,3.95,0.0,0.1,20.9,0.282,0.305
2020-01-01T04:00,18.1,95,0.0,0.0,3.95,0.0,0.1,20.7,0.282,0.305
2020-01-01T05:00,18.2,97,0.0,0.0,3.95,0.0,0.06,21.3,0.281,0.304
2020-01-01T06:00,18.4,97,0.0,0.0,3.73,0.0,0.07,20.9,0.281,0.304
2020-01-01T07:00,19.2,92,0.0,0.0,4.55,0.02,0.19,20.9,0.281,0.304
2020-01-01T08:00,21.3,78,0.0,0.0,5.14,0.14,0.54,21.6,0.281,0.304
2020-01-01T09:00,23.2,67,0.0,0.0,5.06,0.26,0.95,22.8,0.281,0.304
2020-01-01T10:00,24.2,62,0.2,0.2,4.62,0.35,1.15,24.2,0.283,0.304
2020-01-01T11:00,25.4,57,0.4,0.4,4.21,0.45,1.41,25.5,0.285,0.304
2020-01-01T12:00,25.7,59,0.4,0.4,4.37,0.51,1.34,26.8,0.288,0.303
2020-01-01T13:00,26.4,57,0.1,0.1,3.61,0.44,1.46,27.7,0.288,0.303
2020-01-01T14:00,26.9,55,0.0,0.0,3.42,0.47,1.6,28.7,0.287,0.303
2020-01-01T15:00,24.9,63,0.2,0.2,4.18,0.29,1.15,28.5,0.289,0.303
2020-01-01T16:00,24.6,67,0.5,0.5,2.28,0.2,1.01,27.3,0.292,0.303
2020-01-01T17:00,23.5,70,0.1,0.1,2.98,0.12,0.87,26.6,0.292,0.305
2020-01-01T18:00,22.3,79,0.0,0.0,2.34,0.03,0.57,25.4,0.292,0.305
2020-01-01T19:00,21.8,81,0.0,0.0,2.53,0.01,0.5,24.5,0.292,0.305
2020-01-01T20:00,21.3,83,0.0,0.0,3.04,0.01,0.44,23.8,0.292,0.305
2020-01-01T21:00,20.6,87,0.0,0.0,3.26,0.01,0.32,23.2,0.292,0.305
2020-01-01T22:00,19.9,91,0.0,0.0,3.34,0.0,0.2,22.7,0.292,0.305
2020-01-01T23:00,19.3,97,0.0,0.0,3.06,0.0,0.08,22.2,0.292,0.305
2020-01-02T00:00,19.9,92,0.0,0.0,3.74,0.0,0.19,22.0,0.292,0.305
2020-01-02T01:00,19.8,93,0.0,0.0,3.04,0.0,0.15,21.9,0.292,0.305
2020-01-02T02:00,19.1,97,0.0,0.0,2.69,0.0,0.07,21.6,0.292,0.305
2020-01-02T03:00,18.9,98,0.0,0.0,2.88,0.0,0.04,21.3,0.292,0.305
2020-01-02T04:00,18.8,98,0.0,0.0,3.22,0.0,0.03,21.1,0.292,0.305
2020-01-02T05:00,18.8,98,0.0,0.0,2.97,0.0,0.03,21.5,0.293,0.305
