temperature_2m,relative_humidity_2m,rain,wind_speed_10m,soil_temperature_0_to_7cm,soil_moisture_percent,soil_moisture_deep_percent,soil_moisture_avg,rainfall_6h,rainfall_24h,rainfall_72h,temperature_6h_avg,temperature_24h_avg,humidity_24h_avg,et0_24h,vapour_pressure_deficit,water_stress,rainfall_factor,hour,day_of_year,month,irrigation_score,irrigation_recommendation
18.8,94,0.0,5.02,21.9,28.199999999999996,30.5,29.349999999999998,0.0,0.0,0.0,18.8,18.8,94.0,0.0,0.13,0.0,1.0,0,1,1,0.0,No irrigation
18.8,92,0.0,4.71,21.5,28.199999999999996,30.5,29.349999999999998,0.0,0.0,0.0,18.8,18.8,93.0,0.0,0.17,0.0,1.0,1,1,1,0.0,No irrigation
18.3,94,0.0,4.37,21.2,28.199999999999996,30.5,29.349999999999998,0.0,0.0,0.0,18.633333333333336,18.633333333333336,93.33333333333333,0.0,0.12,0.0,1.0,2,1,1,0.0,No irrigation
18.2,95,0.0,3.95,20.9,28.199999999999996,30.5,29.349999999999998,0.0,0.0,0.0,18.525,18.525,93.75,0.0,0.1,0.0,1.0,3,1,1,0.0,No irrigation
18.1,95,0.0,3.95,20.7,28.199999999999996,30.5,29.349999999999998,0.0,0.0,0.0,18.44,18.44,94.0,0.0,0.1,0.0,1.0,4,1,1,0.0,No irrigation
18.2,97,0.0,3.95,21.3,28.1,30.4,29.25,0.0,0.0,0.0,18.400000000000002,18.400000000000002,94.5,0.0,0.06,0.0,1.0,5,1,1,0.0,No irrigation
18.4,97,0.0,3.73,20.9,28.1,30.4,29.25,0.0,0.0,0.0,18.333333333333332,18.400000000000002,94.85714285714286,0.0,0.07,0.0,1.0,6,1,1,0.0,No irrigation
19.2,92,0.0,4.55,20.9,28.1,30.4,29.25,0.0,0.0,0.0,18.4,18.5,94.5,0.02,0.19,0.014150000000000001,1.0,7,1,1,0.014150000000000001,No irrigation
21.3,78,0.0,5.14,21.6,28.1,30.4,29.25,0.0,0.0,0.0,18.9,18.811111111111114,92.66666666666667,0.16,0.54,0.11320000000000001,1.0,8,1,1,0.11320000000000001,No irrigation
23.2,67,0.0,5.06,22.8,28.1,30.4,29.25,0.0,0.0,0.0,19.73333333333333,19.25,90.1,0.42000000000000004,0.95,0.29715,1.0,9,1,1,0.29715,No irrigation
24.2,62,0.2,4.62,24.2,28.299999999999997,30.4,29.349999999999998,0.2,0.2,0.2,20.75,19.7,87.54545454545455,0.77,1.15,0.5440050000000001,0.99,10,1,1,0.53856495,No irrigation
25.4,57,0.4,4.21,25.5,28.499999999999996,30.4,29.449999999999996,0.6000000000000001,0.6000000000000001,0.6000000000000001,21.95,20.175,85.0,1.22,1.41,0.86071,0.97,11,1,1,0.8348886999999999,No irrigation
25.7,59,0.4,4.37,26.8,28.799999999999997,30.3,29.549999999999997,1.0,1.0,1.0,23.166666666666668,20.6,83.0,1.73,1.34,1.218785,0.95,12,1,1,1.15784575,Monitor
26.4,57,0.1,3.61,27.7,28.799999999999997,30.3,29.549999999999997,1.1,1.1,1.1,24.366666666666664,21.014285714285712,81.14285714285714,2.17,1.46,1.528765,0.945,13,1,1,1.444682925,Monitor
26.9,55,0.0,3.42,28.7,28.7,30.3,29.5,1.1,1.1,1.1,25.3,21.40666666666667,79.4,2.64,1.6,1.8612000000000002,0.945,14,1,1,1.758834,Monitor
24.9,63,0.2,4.18,28.5,28.9,30.3,29.6,1.3,1.3,1.3,25.583333333333332,21.625,78.375,2.9299999999999997,1.15,2.0627199999999997,0.935,15,1,1,1.9286431999999998,Monitor
24.6,67,0.5,2.28,27.3,29.2,30.3,29.75,1.6,1.8,1.8,25.649999999999995,21.8,77.70588235294117,3.13,1.01,2.198825,0.91,16,1,1,2.0009307499999998,Monitor
23.5,70,0.1,2.98,26.6,29.2,30.5,29.85,1.3,1.9000000000000001,1.9000000000000001,25.333333333333332,21.894444444444446,77.27777777777777,3.25,0.87,2.279875,0.905,17,1,1,2.063286875,Monitor
22.3,79,0.0,2.34,25.4,29.2,30.5,29.85,0.9,1.9000000000000001,1.9000000000000001,24.766666666666666,21.91578947368421,77.36842105263158,3.28,0.57,2.30092,0.905,18,1,1,2.0823326,Monitor
21.8,81,0.0,2.53,24.5,29.2,30.5,29.85,0.7999999999999999,1.9000000000000001,1.9000000000000001,24.0,21.91,77.55,3.29,0.5,2.307935,0.905,19,1,1,2.088681175,Monitor
21.3,83,0.0,3.04,23.8,29.2,30.5,29.85,0.7999999999999999,1.9000000000000001,1.9000000000000001,23.066666666666666,21.88095238095238,77.80952380952381,3.3,0.44,2.31495,0.905,20,1,1,2.09502975,Monitor
20.6,87,0.0,3.26,23.2,29.2,30.5,29.85,0.6,1.9000000000000001,1.9000000000000001,22.349999999999998,21.822727272727274,78.22727272727273,3.31,0.32,2.321965,0.905,21,1,1,2.101378325,Monitor
19.9,91,0.0,3.34,22.7,29.2,30.5,29.85,0.1,1.9000000000000001,1.9000000000000001,21.566666666666666,21.73913043478261,78.78260869565217,3.31,0.2,2.321965,0.905,22,1,1,2.101378325,Monitor
19.3,97,0.0,3.06,22.2,29.2,30.5,29.85,0.0,1.9000000000000001,1.9000000000000001,20.866666666666667,21.6375,79.54166666666667,3.31,0.08,2.321965,0.905,23,1,1,2.101378325,Monitor
19.9,92,0.0,3.74,22.0,29.2,30.5,29.85,0.0,1.9000000000000001,1.9000000000000001,20.46666666666667,21.683333333333334,79.45833333333333,3.31,0.19,2.321965,0.905,0,2,1,2.101378325,Monitor
19.8,93,0.0,3.04,21.9,29.2,30.5,29.85,0.0,1.9000000000000001,1.9000000000000001,20.133333333333333,21.724999999999998,79.5,3.31,0.15,2.321965,0.905,1,2,1,2.101378325,Monitor
19.1,97,0.0,2.69,21.6,29.2,30.5,29.85,0.0,1.9000000000000001,1.9000000000000001,19.766666666666666,21.758333333333336,79.625,3.31,0.07,2.321965,0.905,2,2,1,2.101378325,Monitor
18.9,98,0.0,2.88,21.3,29.2,30.5,29.85,0.0,1.9000000000000001,1.9000000000000001,19.483333333333334,21.787499999999998,79.75,3.31,0.04,2.321965,0.905,3,2,1,2.101378325,Monitor
18.8,98,0.0,3.22,21.1,29.2,30.5,29.85,0.0,1.9000000000000001,1.9000000000000001,19.3,21.816666666666666,79.875,3.31,0.03,2.321965,0.905,4,2,1,2.101378325,Monitor
18.8,98,0.0,2.97,21.5,29.299999999999997,30.5,29.9,0.0,1.9000000000000001,1.9000000000000001,19.216666666666665,21.84166666666667,79.91666666666667,3.31,0.03,2.32031,0.905,5,2,1,2.09988055,Monitor
